inventory_id,product_id,warehouse_id,quantity,min_stock_level,max_stock_level,last_restock_date
132,69,1,175,24,713,2024-10-03
133,70,3,391,10,904,2025-01-17
134,71,2,4,49,919,2025-01-13
135,72,2,348,18,390,2024-02-04
136,72,5,143,31,633,2024-05-25
137,73,4,397,17,303,2024-05-20
138,73,4,315,11,721,2024-02-23
139,74,5,80,24,649,2024-06-04
140,75,2,75,43,456,2024-10-20
141,75,5,52,27,677,2024-06-16
142,75,2,423,11,814,2025-05-13
143,76,4,4,12,966,2026-01-06
144,76,5,258,32,711,2025-03-13
145,77,1,454,23,557,2024-12-30
146,77,2,79,31,816,2025-12-18
147,77,1,430,48,228,2025-08-26
148,78,2,3,10,853,2024-04-17
149,78,1,150,42,802,2025-11-04
150,78,3,247,32,456,2026-01-03
151,79,4,378,34,519,2025-05-26
152,79,3,236,28,800,2024-01-15
153,80,2,145,36,276,2024-01-05
154,81,3,0,48,784,2025-05-30
155,81,4,117,26,549,2025-07-21
156,81,4,375,11,856,2024-09-16
157,82,3,327,45,231,2025-08-23
158,82,2,36,22,241,2025-07-26
159,83,5,298,44,618,2025-03-28
160,83,3,61,37,953,2024-11-15
161,84,2,351,21,351,2025-10-03
162,84,5,334,10,235,2024-02-04
163,85,2,204,42,855,2025-10-21
164,85,4,288,22,411,2024-08-22
165,85,5,486,17,261,2025-06-21
166,86,1,214,28,505,2025-09-16
167,86,5,18,21,869,2025-04-02
168,87,4,211,43,521,2025-09-27
169,88,2,481,16,448,2024-08-31
170,89,2,270,48,318,2024-07-27
171,89,5,434,39,255,2026-01-15
172,90,2,101,40,288,2024-03-18
173,90,4,157,13,417,2024-02-18
174,91,5,297,43,727,2025-08-09
175,91,3,237,41,736,2024-05-20
176,92,1,415,30,328,2025-12-27
177,93,1,172,32,928,2025-12-24
178,93,1,217,39,297,2026-01-14
179,94,2,410,25,850,2025-08-03
180,94,2,36,43,446,2024-12-13
181,94,2,124,11,202,2024-04-25
182,95,3,329,11,382,2025-12-30
183,95,2,279,34,790,2024-06-26
184,96,2,353,43,532,2025-05-16
185,96,2,475,12,996,2025-02-12
186,96,3,367,45,977,2024-02-04
187,97,4,311,24,210,2025-04-15
188,97,2,191,19,356,2024-01-23
189,98,2,31,43,379,2025-06-16
190,98,1,449,17,444,2024-05-06
191,99,1,457,19,638,2025-01-12
192,99,3,264,48,798,2024-06-28
193,100,4,41,11,857,2025-12-22
