customer_id,total_amount
277,28518.31
278,33761.84
279,31326.32
280,27925.28
281,27029.53
282,17952.0
283,27972.83
284,28121.86
285,27722.97
286,29375.13
287,36747.32
288,27960.63
289,24548.62
290,23586.38
291,26329.8
292,18082.09
293,18062.44
294,24145.54
295,20286.23
296,33666.6
297,7493.709999999999
298,20307.6
299,27517.7
300,40337.22
301,37288.15
302,22743.99
303,18405.75
304,25977.989999999998
305,13727.83
306,24195.08
307,23593.989999999998
308,18925.489999999998
309,18779.19
310,26702.48
311,38780.68
312,37148.829999999994
313,17549.61
314,25623.309999999998
315,13584.380000000001
316,19433.64
317,18637.91
318,20474.89
319,23716.43
320,38319.49
321,27216.93
322,12961.28
323,33026.47
324,28913.21
325,29999.629999999997
326,26084.47
327,26826.94
328,34222.090000000004
329,15026.61
330,15318.85
331,19751.8
332,18970.79
333,19097.73
334,23827.37
335,22392.02
336,25752.17
337,18366.57
338,25139.379999999997
339,18232.35
340,14699.84
341,19372.53
342,21875.4
343,33956.93
344,28218.15
345,22763.86
346,26070.11
347,26582.760000000002
348,26626.52
349,14695.94
350,51613.83
351,18438.350000000002
352,16617.36
353,37342.44
354,31716.309999999998
355,25686.32
356,21786.0
357,37567.72
358,40439.25
359,26297.91
360,60773.87
361,25759.24
362,37088.2
363,31226.32
364,34538.03
365,11626.92
366,69680.53
367,24535.649999999998
368,10144.71
369,44881.72
370,40878.37
371,38353.66
372,10256.99
373,19310.37
374,26615.73
375,15644.6
376,36787.34
377,37406.43
378,18013.780000000002
379,39300.82
380,12203.95
381,39288.54
382,43437.090000000004
383,6688.8
384,11218.67
385,23467.99
386,20800.68
387,13498.92
388,22790.86
389,28621.43
390,23184.18
391,46803.74
392,29776.82
393,33804.06
394,17598.3
395,24523.89
396,38726.51
397,33015.66
398,38855.14
399,25963.49
400,32250.98
401,51683.37
402,40988.89
403,27781.56
404,43746.48
405,30059.56
406,23192.260000000002
407,31096.21
408,29482.03
409,17343.989999999998
410,45195.98
411,22513.51
412,24786.28
413,32866.08
414,41148.02
415,28632.0
416,42350.07
417,26793.7
418,24129.17
419,22601.52
420,39056.2
421,46996.79
422,9727.21
423,38130.73
424,28005.73
425,43303.95
426,30679.33
427,42680.48
428,25067.760000000002
429,14619.15
430,33547.6
431,40856.83
432,63378.67
433,39294.35
434,9929.76
435,25264.489999999998
436,23925.82
437,15685.050000000001
438,15932.05
439,24837.06
440,13604.46
441,18533.98
442,20003.62
443,12657.96
444,41155.76
445,22465.32
446,44769.69
447,25285.33
448,21539.72
449,16518.51
450,13932.880000000001
451,31218.22
452,19358.04
453,24480.81
454,7501.47
455,31541.269999999997
456,33347.38
457,32637.72
458,5150.01
459,36805.4
460,31685.07
461,19837.88
462,26893.72
463,10016.99
464,21295.93
465,15895.98
466,21995.0
467,26708.62
468,25752.46
469,47870.24
470,49150.51
471,36936.17
472,9590.0
473,30545.83
474,16314.990000000002
475,34161.72
476,15475.080000000002
477,27533.48
478,29087.55
479,30060.06
480,12103.75
481,35273.87
482,13278.25
483,34482.57
484,26631.76
485,18666.27
486,20952.87
487,36892.71
488,25905.19
489,17510.92
490,35018.36
491,18941.33
492,22987.4
493,29994.079999999998
494,16870.78
495,40300.39
496,14182.42
497,29322.4
498,16055.89
499,41474.17
500,18237.62
